red,vrsta_naloga,vrsta_institucije,Grad,email,Link za Uputstva za Donacije,Ime Institucije,nalog,Username,Full Name,Biography,Followers Count,Following Count,Posts Count,Is Private,Is Verified,External URL,Category,Pronouns,Bio Link 1,Bio Link 2,Bio Link 3,,,,,ime_institucije
,Treća Lica,,-,,,,https://www.instagram.com/usrana.motka/,usrana.motka,Usrana Motka,"Kad nepravda postane zakon, otpor postaje dužnost!
Protiv kleptokratije i imperijalizma!
🄯Slobodno kopiranje/preuzimanje.Širite istinu!
Necenzurisano:","105,638","1,452","10,680",FALSE,FALSE,http://t.me/usrana_motka,Political Organization,,http://t.me/usrana_motka,http://t.me/usrana_motka,https://www.youtube.com/@usrana_motka,,,,,
1,Krovni Nalozi,,-,,POTREBNI RESURSI,0. Krovni Dokument sa Uputstvima za 20+ ustanova,https://www.instagram.com/studenti_u_blokadi/,studenti_u_blokadi,Samoorganizovana grupa studenata - Blokada,Ovo je neprofitna nestranačka grupa studenata nastala sa ciljem da osnaži akademsku zajednicu i osigura prava i slobodu studenata.,"80,508",97,252,FALSE,FALSE,https://x.com/studentblokade?s=21,Student Union,,https://x.com/studentblokade?s=21,https://x.com/studentblokade?s=21,,,,,,
2,Ustanove,Viša,Beograd,,,Fakultet dramskih umetnosti,https://www.instagram.com/sviublokade.fdu/,sviublokade.fdu,Svi u blokade!,Do ispunjenja zahteva!,"16,998",55,42,FALSE,FALSE,https://fluxokupacija.wixsite.com/flux?fbclid=PAZXh0bgNhZW0CMTEAAaYrDd8iU56HwkLaC92rM2VeyZGLjqYvejE7HUDwcFf-XvncWtj8yUAlmTY_aem_5Wm7Xsqvkdoy0nun0BBkOA,Community,,https://fluxokupacija.wixsite.com/flux?fbclid=PAZXh0bgNhZW0CMTEAAaYrDd8iU56HwkLaC92rM2VeyZGLjqYvejE7HUDwcFf-XvncWtj8yUAlmTY_aem_5Wm7Xsqvkdoy0nun0BBkOA,https://fluxokupacija.wixsite.com/flux?fbclid=PAZXh0bgNhZW0CMTEAAaYrDd8iU56HwkLaC92rM2VeyZGLjqYvejE7HUDwcFf-XvncWtj8yUAlmTY_aem_5Wm7Xsqvkdoy0nun0BBkOA,,,,,,
3,Ustanove,Viša,Novi Sad,,https://docs.google.com/spreadsheets/d/162eBkhioTGTKk7LF4g1IJAFZ0Q84iKgHPPKvUzPP41c/edit?fbclid=PAZXh0bgNhZW0CMTEAAaYsP7pzcCSsNjnB5FYOUl0Oh1bi2ZxtgfQvogCBT81qNJFgJ89zMNOOBY4_aem_UY8XTIHJ8QLWXZkLyc9hfA&gid=0#gid=0,Fakultet tehničkih nauka,https://www.instagram.com/ftn_se_budi/,ftn_se_budi,Studenti FTN-a,Jedini zvanični profil studentske blokade Fakulteta tehničkih nauka u Novom Sadu.,"10,829",26,66,FALSE,FALSE,https://docs.google.com/spreadsheets/d/16AXq1PjjwGswSHpF5pQDGZMJ1BG7tAShS85yz6hAxKw/htmlview?fbclid=PAY2xjawHH_jhleHRuA2FlbQIxMAABpsFzhhqtxi2XzH1T6zuAO4NN53MQLV_JWTTvRfKo1jwtrXAwHD6nwIVohQ_aem_wwErX0J-aO1D56nIKd1hwQ,Education,,https://docs.google.com/spreadsheets/d/16AXq1PjjwGswSHpF5pQDGZMJ1BG7tAShS85yz6hAxKw/htmlview?fbclid=PAY2xjawHH_jhleHRuA2FlbQIxMAABpsFzhhqtxi2XzH1T6zuAO4NN53MQLV_JWTTvRfKo1jwtrXAwHD6nwIVohQ_aem_wwErX0J-aO1D56nIKd1hwQ,https://docs.google.com/spreadsheets/d/16AXq1PjjwGswSHpF5pQDGZMJ1BG7tAShS85yz6hAxKw/htmlview?fbclid=PAY2xjawHH_jhleHRuA2FlbQIxMAABpsFzhhqtxi2XzH1T6zuAO4NN53MQLV_JWTTvRfKo1jwtrXAwHD6nwIVohQ_aem_wwErX0J-aO1D56nIKd1hwQ,https://docs.google.com/document/d/1RXaybTcz1u6TMK6chirIiCk9pRHZ-oDkjFV_HtJt5XQ/mobilebasic,,,,,
4,Ustanove,Viša,Beograd,,https://l.instagram.com/?u=https%3A%2F%2Fdocs.google.com%2Fspreadsheets%2Fd%2Fe%2F2PACX-1vSgfrQsnsz0pjTw4S4zuqvgM7F2o4qRcXbUt-LzB0_5fXb_bjxZ8U6-U9hCMZ2f13M13UoRJYJAlNEt%2Fpub%3Fgid%3D1845419112%26single%3Dtrue%26output%3Dpdf%26fbclid%3DPAZXh0bgNhZW0CMTEAAaZzHQOjF2E11i2FmAPYPB02GNR5-eBb52yC-XpOEcgJRF1oBPhwhLtrRRs_aem_H_6F4VjpJLfZE4UZKepIuw&e=AT2xrjgGy5OyxHI1fSSBYyFgapXZhFvZhklMviYR_hB1UPPtPTZG52DXqIuEdKW-exGRUdMlz90uAV7hwdG__E0kMplsRUCDTEKf5beQr9PYnoC6axjBLQ,Fakultet organizacionih nauka,https://www.instagram.com/blokada.fon/?hl=en&g=5,blokada.fon,Блокада ФОН,ФОН-овци се придружују студентима који блокирају факултете и ректорат. Заједно дижемо глас против неправде и боримо се за промене!,"8,209",76,73,FALSE,FALSE,,Community,,,,,,,,,
5,Ustanove,Viša,Beograd,studenti.etf.pr@gmail.com,https://docs.google.com/document/d/1kUXA7vdB1IvK8-VaToqP44bL8lW5h6Ha2LJTZPGYkTM/edit?tab=t.0,Elektrotehnički fakultet,https://www.instagram.com/etfublokadi,etfublokadi,Studenti Elektrotehničkog fakulteta Univerziteta u Beogradu,Kontakt: studenti.etf.pr@gmail.com,"6,805",51,97,FALSE,FALSE,https://www.tiktok.com/@etfublokadi?_t=8s6YoI7jTDa&_r=1&fbclid=PAZXh0bgNhZW0CMTEAAaZH4SVpUAz9sTYBElIGMoEsIMw6_j6Ptw9BkBJxv6ua3oAV8w_zup-Wjxc_aem_Iit2vt84vRBcVajE2jcmkw,Community,,https://www.tiktok.com/@etfublokadi?_t=8s6YoI7jTDa&_r=1&fbclid=PAZXh0bgNhZW0CMTEAAaZH4SVpUAz9sTYBElIGMoEsIMw6_j6Ptw9BkBJxv6ua3oAV8w_zup-Wjxc_aem_Iit2vt84vRBcVajE2jcmkw,https://www.tiktok.com/@etfublokadi?_t=8s6YoI7jTDa&_r=1&fbclid=PAZXh0bgNhZW0CMTEAAaZH4SVpUAz9sTYBElIGMoEsIMw6_j6Ptw9BkBJxv6ua3oAV8w_zup-Wjxc_aem_Iit2vt84vRBcVajE2jcmkw,https://docs.google.com/forms/d/e/1FAIpQLSfRmeVRtEAv1Y-LwEn3oWFb_iU8bU9jSgF96J2-zT_Hj-gT7g/viewform,,,,,
6,Krovni Nalozi,Viša,Niš,,,Neformalna grupa niških studenata,https://www.instagram.com/ngs_niss/?hl=en,ngs_niss,Neformalna grupa niških studenata,Jug neće ćutati!,"5,482",214,69,FALSE,FALSE,https://invite.viber.com/?g2=AQBLw8B%2Bzwx3YlPnRdsmYFMDeR0my0CFMfql7xwRzunFdhoobyvkB65Wv2q75BNk,Community,,https://invite.viber.com/?g2=AQBLw8B%2Bzwx3YlPnRdsmYFMDeR0my0CFMfql7xwRzunFdhoobyvkB65Wv2q75BNk,https://invite.viber.com/?g2=AQBLw8B%2Bzwx3YlPnRdsmYFMDeR0my0CFMfql7xwRzunFdhoobyvkB65Wv2q75BNk,,,,,,
7,Ustanove,Viša,Beograd,,https://qr-code.click/i/p/676d7d20d7e77?fbclid=PAZXh0bgNhZW0CMTEAAabF-Wgo0uDs7zWJ5bUP1Z-i2FPhQjYhJVI435GAb4gIBUdlD7dq148mgTg_aem_SuFgPQaWMotum-QA7wiREA,Pravni fakultet,https://www.instagram.com/blokada_pravni/,blokada_pravni,Правни у блокади,До испуњења захтева! Сви у блокаде! Правници за правду!,"5,252",77,52,FALSE,FALSE,https://forms.gle/9cH1pAQKCgPnvBrv7,Community,,https://forms.gle/9cH1pAQKCgPnvBrv7,https://forms.gle/9cH1pAQKCgPnvBrv7,,,,,,
8,Ustanove,Viša,Beograd,fpnblokada@gmail.com,FPN LOGISTIKA I DONACIJE ,Fakultet političkih nauka,https://www.instagram.com/blokada.fpn/,blokada.fpn,Blokada Fakulteta političkih nauka,Studenti Fakulteta političkih nauka traže krivičnu odgovornost za tragediju u Novom Sadu i za napade na studente i profesore na protestima! ✊🏻,"5,046",44,56,FALSE,FALSE,,Community,,,,,,,,,
9,Ustanove,Viša,Novi Sad,,,Akademija umetnosti,https://www.instagram.com/blokada.auns/,blokada.auns,AUNS studenti u blokadi,Zvanični profil studenata u blokadi Akademije umetnosti u Novom Sadu,"4,310",31,31,FALSE,FALSE,,Student Union,,,,,,,,,
