vrsta_naloga,vrsta_institucije,grad,email,nalog,Username,Full Name,Biography,Followers Count,Following Count,Posts Count,Is Private,Is Verified,External URL,Category,Pronouns,Bio Link 1,Bio Link 2,Bio Link 3,,,,,ime_institucije
Ustanove,Viša,Novi Sad,,https://www.instagram.com/blokadapmf/,blokadapmf,Studenti PMF-a,,"3,594",46,38,FALSE,FALSE,https://linktr.ee/blokadapmf,Community Organization,,https://linktr.ee/blokadapmf,https://linktr.ee/blokadapmf,,,,,,Prirodno Matematicki Fakultet
Krovni Nalozi,,,,https://www.instagram.com/studenti_u_blokadi/,studenti_u_blokadi,Samoorganizovana grupa studenata - Blokada,Ovo je neprofitna nestranačka grupa studenata nastala sa ciljem da osnaži akademsku zajednicu i osigura prava i slobodu studenata.,"80,508",97,252,FALSE,FALSE,https://x.com/studentblokade?s=21,Student Union,,https://x.com/studentblokade?s=21,https://x.com/studentblokade?s=21,,,,,,
Ustanove,Viša,Beograd,,https://www.instagram.com/sviublokade.fdu/,sviublokade.fdu,Svi u blokade!,Do ispunjenja zahteva!,"16,998",55,42,FALSE,FALSE,https://fluxokupacija.wixsite.com/flux?fbclid=PAZXh0bgNhZW0CMTEAAaYrDd8iU56HwkLaC92rM2VeyZGLjqYvejE7HUDwcFf-XvncWtj8yUAlmTY_aem_5Wm7Xsqvkdoy0nun0BBkOA,Community,,https://fluxokupacija.wixsite.com/flux?fbclid=PAZXh0bgNhZW0CMTEAAaYrDd8iU56HwkLaC92rM2VeyZGLjqYvejE7HUDwcFf-XvncWtj8yUAlmTY_aem_5Wm7Xsqvkdoy0nun0BBkOA,https://fluxokupacija.wixsite.com/flux?fbclid=PAZXh0bgNhZW0CMTEAAaYrDd8iU56HwkLaC92rM2VeyZGLjqYvejE7HUDwcFf-XvncWtj8yUAlmTY_aem_5Wm7Xsqvkdoy0nun0BBkOA,,,,,,Fakultet Dramske umetnosti
Ustanove,Viša,Beograd,,https://www.instagram.com/blokada_pravni/,blokada_pravni,Правни у блокади,До испуњења захтева! Сви у блокаде! Правници за правду!,"5,252",77,52,FALSE,FALSE,https://forms.gle/9cH1pAQKCgPnvBrv7,Community,,https://forms.gle/9cH1pAQKCgPnvBrv7,https://forms.gle/9cH1pAQKCgPnvBrv7,,,,,,Pravni fakultet
Ustanove,Viša,Beograd,blokadafarmacija@gmail.com,https://www.instagram.com/blokada.ffubg/,blokada.ffubg,Farmaceutski fakultet Beograd,"❗️ustao da podrži studente u borbi
❗️stao s radom do ispunjenja zahteva blokadafarmacija@gmail.com","3,554",42,34,FALSE,FALSE,,Community,,,,,,,,,Farmaceutski fakultet Beograd
Ustanove,Viša,Beograd,,https://www.instagram.com/blokada.arh.bg?hl=en&g=5,blokada.arh.bg,,"Zvanični profil studentske blokade Arhitektonskog fakulteta Univerziteta u Beogradu
- glas plenuma","3,602",45,63,FALSE,FALSE,,,,,,,,,,,Arhitektonski Fakultet
Ustanove,Viša,Beograd,,https://www.instagram.com/blokada.fon/?hl=en&g=5,blokada.fon,Блокада ФОН,ФОН-овци се придружују студентима који блокирају факултете и ректорат. Заједно дижемо глас против неправде и боримо се за промене!,"8,209",76,73,FALSE,FALSE,,Community,,,,,,,,,Fakultet Organizacionih Nauka (FON)
Ustanove,Viša,Beograd,,https://www.instagram.com/ekof.blokada/?hl=en&g=5,ekof.blokada,ekof.blokada,"Jedini zvanični profil plenuma EKOF-a
❗Svaki dan, 11:52h 
👇LISTA ZA DONACIJE👇","4,222",82,58,FALSE,FALSE,https://docs.google.com/spreadsheets/d/1NMGxpySDPHrpObgBtVFdnQZ_tKfmJggb94vTaOzmoiQ/edit?usp=sharing,Community,,https://docs.google.com/spreadsheets/d/1NMGxpySDPHrpObgBtVFdnQZ_tKfmJggb94vTaOzmoiQ/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1NMGxpySDPHrpObgBtVFdnQZ_tKfmJggb94vTaOzmoiQ/edit?usp=sharing,,,,,,Ekonomski Fakultet
Ustanove,Viša,Beograd,,https://www.instagram.com/blokadaffh/,blokadaffh,Blokada Fakulteta za fizičku hemiju,,635,77,16,FALSE,FALSE,,,,,,,,,,,Fizicka hemija
Ustanove,Viša,Beograd,,https://www.instagram.com/dif.blokada/,dif.blokada,DIF JE (U)STAO !,"❗️ustao da podrži studente u borbi
❗️stao s radom do ispunjenja zahteva","2,349",46,23,FALSE,FALSE,,,,,,,,,,,DIF
